LastName;FirstName;OU;Password
Aarts;Agit;Management;R1234-56
Adams;Ahmed;Management;R1234-56
Adriaensen;Alejandro;Accounting;R1234-56
Aerts;Alessio;Accounting;R1234-56
Ajouaou;Alexander;Accounting;R1234-56
Al-heshmawi;Ali;Accounting;R1234-56
Alofs;Aline;Accounting;R1234-56
Alrass;Amber;Accounting;R1234-56
Andelhofs;Amory;Accounting;R1234-56
Andronico;Andreas;Accounting;R1234-56
Antonis;Angela;R&D;R1234-56
Appels;Anke;R&D;R1234-56
Arsemikov;Anthony;R&D;R1234-56
Asefi;Anton;R&D;R1234-56
Azhiev;Antoon;R&D;R1234-56
Baeyens;Ariel;R&D;R1234-56
Bakelants;Arne;R&D;R1234-56
Basar;Arno;R&D;R1234-56
Bastiaens;Arnold;R&D;R1234-56
Bax;Artem;IT;R1234-56
Beerens;Ashwin;IT;R1234-56
Beijens;Axel;IT;R1234-56
Beliën;Ayoub;IT;R1234-56
Belmans;Barend;Marketing;R1234-56
Bens;Bart;Marketing;R1234-56
Bergmans;Bas;Marketing;R1234-56
Berkmans;Bastia;Marketing;R1234-56
Bertels;Bauke;Marketing;R1234-56
Bervoets;Beau;Q&A;R1234-56
Beyens;Ben;Q&A;R1234-56
Blaga;Benjamin;Q&A;R1234-56
Bleys;Bert;Q&A;R1234-56
Blockx;Bjorn;Q&A;R1234-56
Blomsma;Björn;Q&A;R1234-56
Boeckmans;Bob;Q&A;R1234-56
Boeckx;Bobby;Q&A;R1234-56
Boets;Bogdan;Production;R1234-56
Bogaerts;Borgert;Production;R1234-56
Bols;Boris;Production;R1234-56
Bongaers;Boyd;Production;R1234-56
Boone;Bram;Production;R1234-56
Bosmans;Bram ;Production;R1234-56
Breugelmans;Brandon;Production;R1234-56
Broekx;Brecht;Production;R1234-56
Bruers;Brend;Production;R1234-56
Bruyns;Brent;Production;R1234-56
Bruynseels;Bryce;Production;R1234-56
Buyckx;Cameron;Production;R1234-56
Buyens ;Carl;Production;R1234-56
Caeyers;Casper;Production;R1234-56
Carvalho Dos Santos Mendes;Céderic;Production;R1234-56
Castermans;Cedric;Production;R1234-56
Cavens;Cédric;Production;R1234-56
Ceulemans;Cel;Production;R1234-56
Ceulers;Cezary;Production;R1234-56
Chermenschi;Christophe;Production;R1234-56
Claes;Daan;Production;R1234-56
Claessen;Dajo;Production;R1234-56
Clerckx;Daniel;Production;R1234-56
Cleymans;Daniil;Production;R1234-56
Clonen;Dario;Production;R1234-56
Clymans;Dave;Production;R1234-56
Cockaert;Dean;Production;R1234-56
Collart;Dennis;Production;R1234-56
Cool;Dieter;Production;R1234-56
Cools;Din;Production;R1234-56
Coppens;Dirk;Production;R1234-56
Cox;Domin;Production;R1234-56
Crabbé;Dorian;Production;R1234-56
Craeghs ;Dorien;Production;R1234-56
Cruysberghs;Dries;Production;R1234-56
Cuypers;Dylan;Production;R1234-56
Cypers;Eduard;Production;R1234-56
Daems;Edward;Production;R1234-56
Dams;Elise;Production;R1234-56
Danau;Elke;Production;R1234-56
Danckaerts;Ellen;Production;R1234-56
Dauwen;Eloy;Production;R1234-56
De Backer;Emmy;Production;R1234-56
De Berti;Emre;Production;R1234-56
